Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-02-08,4.0,-0.21174476050122384,-0.21174476050122384
2024-02-15,3.25,-0.5111854952169087,-0.5111854952169087
2024-02-20,4.25,-0.11193118226266226,-0.11193118226266226
2024-02-21,3.0,-0.6109990734554702,-0.6109990734554702
2024-02-22,2.75,-0.7108126516940318,-0.7108126516940318
2024-02-23,3.0,-0.6109990734554702,-0.6109990734554702
2024-02-26,3.5,-0.4113719169783471,-0.4113719169783471
2024-02-27,3.75,-0.31155833873978545,-0.31155833873978545
2024-03-04,2.75,-0.7108126516940318,-0.7108126516940318
2024-03-05,3.5,-0.4113719169783471,-0.4113719169783471
2024-03-06,3.0,-0.6109990734554702,-0.6109990734554702
2024-03-07,2.75,-0.7108126516940318,-0.7108126516940318
2024-03-13,3.5,-0.4113719169783471,-0.4113719169783471
2024-03-18,2.5,-0.8106262299325935,-0.8106262299325935
2024-03-19,3.0,-0.6109990734554702,-0.6109990734554702
2024-03-20,2.5,-0.8106262299325935,-0.8106262299325935
2024-03-21,5.5,0.38713670893014573,0.38713670893014573
2024-03-22,1.5,-1.2098805428868398,-1.2098805428868398
2024-03-25,3.0,-0.6109990734554702,-0.6109990734554702
2024-03-26,2.25,-0.9104398081711551,-0.9104398081711551
2024-03-27,2.0,-1.0102533864097167,-1.0102533864097167
2024-04-01,2.5,-0.8106262299325935,-0.8106262299325935
2024-04-02,5.0,0.18750955245302253,0.18750955245302253
2024-04-03,3.5,-0.4113719169783471,-0.4113719169783471
2024-04-04,2.0,-1.0102533864097167,-1.0102533864097167
2024-04-09,3.75,-0.31155833873978545,-0.31155833873978545
2024-04-15,3.75,-0.31155833873978545,-0.31155833873978545
2024-04-16,5.0,0.18750955245302253,0.18750955245302253
2024-04-17,5.75,0.48695028716870736,0.48695028716870736
2024-04-18,3.0,-0.6109990734554702,-0.6109990734554702
2024-04-19,6.75,0.8862046001229538,0.8862046001229538
2024-04-22,3.5,-0.4113719169783471,-0.4113719169783471
2024-04-23,3.25,-0.5111854952169087,-0.5111854952169087
2024-04-24,2.5,-0.8106262299325935,-0.8106262299325935
2024-04-29,4.0,-0.21174476050122384,-0.21174476050122384
2024-04-30,3.5,-0.4113719169783471,-0.4113719169783471
2024-05-01,2.25,-0.9104398081711551,-0.9104398081711551
2024-05-02,3.25,-0.5111854952169087,-0.5111854952169087
2024-05-06,4.25,-0.11193118226266226,-0.11193118226266226
2024-05-07,3.5,-0.4113719169783471,-0.4113719169783471
2024-05-08,2.75,-0.7108126516940318,-0.7108126516940318
2024-05-09,2.25,-0.9104398081711551,-0.9104398081711551
2024-05-16,3.25,-0.5111854952169087,-0.5111854952169087
2024-05-17,3.0,-0.6109990734554702,-0.6109990734554702
2024-05-20,2.0,-1.0102533864097167,-1.0102533864097167
2024-05-21,3.0,-0.6109990734554702,-0.6109990734554702
2024-05-22,4.0,-0.21174476050122384,-0.21174476050122384
2024-05-23,4.25,-0.11193118226266226,-0.11193118226266226
2024-05-28,2.25,-0.9104398081711551,-0.9104398081711551
2024-05-29,2.25,-0.9104398081711551,-0.9104398081711551
2024-06-03,3.25,-0.5111854952169087,-0.5111854952169087
2024-06-04,4.0,-0.21174476050122384,-0.21174476050122384
2024-06-05,2.5,-0.8106262299325935,-0.8106262299325935
2024-06-06,2.5,-0.8106262299325935,-0.8106262299325935
2024-06-11,4.5,-0.012117604024100656,-0.012117604024100656
2024-06-17,2.75,-0.7108126516940318,-0.7108126516940318
