Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-18,2.0,-1.0914905328505284,-1.0914905328505284
2024-10-21,4.5,-0.22646429104264718,-0.22646429104264718
2024-10-22,2.75,-0.831982660308164,-0.831982660308164
2024-10-23,3.75,-0.48597216358501155,-0.48597216358501155
2024-10-24,2.5,-0.9184852844889522,-0.9184852844889522
2024-10-28,5.75,0.20604882986129344,0.20604882986129344
2024-10-29,7.25,0.7250645749460222,0.7250645749460222
2024-11-04,5.75,0.20604882986129344,0.20604882986129344
2024-11-05,8.0,0.9845724474883866,0.9845724474883866
2024-11-06,4.25,-0.3129669152234353,-0.3129669152234353
2024-11-07,5.5,0.11954620568050532,0.11954620568050532
2024-11-11,2.0,-1.0914905328505284,-1.0914905328505284
2024-11-15,10.5,1.849598689296268,1.849598689296268
2024-11-18,5.5,0.11954620568050532,0.11954620568050532
2024-11-19,3.0,-0.7454800361273759,-0.7454800361273759
2024-11-20,3.0,-0.7454800361273759,-0.7454800361273759
2024-11-21,7.0,0.638561950765234,0.638561950765234
2024-11-25,5.25,0.0330435814997172,0.0330435814997172
2024-11-26,2.0,-1.0914905328505284,-1.0914905328505284
2024-11-29,5.75,0.20604882986129344,0.20604882986129344
2024-12-02,7.25,0.7250645749460222,0.7250645749460222
2024-12-03,5.25,0.0330435814997172,0.0330435814997172
2024-12-04,6.25,0.3790540782228697,0.3790540782228697
2024-12-05,6.5,0.4655567024036578,0.4655567024036578
2024-12-10,5.5,0.11954620568050532,0.11954620568050532
2024-12-13,4.5,-0.22646429104264718,-0.22646429104264718
2024-12-16,2.5,-0.9184852844889522,-0.9184852844889522
2024-12-17,2.25,-1.0049879086697402,-1.0049879086697402
2024-12-18,2.5,-0.9184852844889522,-0.9184852844889522
2024-12-23,4.75,-0.13996166686185904,-0.13996166686185904
2024-12-24,4.5,-0.22646429104264718,-0.22646429104264718
2024-12-26,7.25,0.7250645749460222,0.7250645749460222
2024-12-27,5.0,-0.05345904268107092,-0.05345904268107092
2024-12-30,2.5,-0.9184852844889522,-0.9184852844889522
2024-12-31,6.75,0.5520593265844459,0.5520593265844459
2025-01-02,4.5,-0.22646429104264718,-0.22646429104264718
2025-01-03,4.0,-0.3994695394042234,-0.3994695394042234
2025-01-06,2.75,-0.831982660308164,-0.831982660308164
2025-01-07,3.75,-0.48597216358501155,-0.48597216358501155
2025-01-08,3.0,-0.7454800361273759,-0.7454800361273759
2025-01-09,3.5,-0.5724747877657996,-0.5724747877657996
2025-01-16,10.0,1.6765934409346916,1.6765934409346916
2025-01-17,3.75,-0.48597216358501155,-0.48597216358501155
2025-01-20,2.75,-0.831982660308164,-0.831982660308164
2025-01-21,4.0,-0.3994695394042234,-0.3994695394042234
2025-01-22,5.5,0.11954620568050532,0.11954620568050532
2025-01-23,3.5,-0.5724747877657996,-0.5724747877657996
2025-01-27,4.5,-0.22646429104264718,-0.22646429104264718
2025-01-28,4.0,-0.3994695394042234,-0.3994695394042234
2025-01-29,8.75,1.2440803200307509,1.2440803200307509
2025-02-03,6.5,0.4655567024036578,0.4655567024036578
2025-02-04,2.5,-0.9184852844889522,-0.9184852844889522
2025-02-05,2.75,-0.831982660308164,-0.831982660308164
2025-02-06,4.25,-0.3129669152234353,-0.3129669152234353
2025-02-11,2.5,-0.9184852844889522,-0.9184852844889522
2025-02-14,3.25,-0.6589774119465878,-0.6589774119465878
2025-02-17,1.0,-1.437501029573681,-1.437501029573681
2025-02-18,3.75,-0.48597216358501155,-0.48597216358501155
2025-02-19,1.75,-1.1779931570313165,-1.1779931570313165
2025-02-20,1.5,-1.2644957812121047,-1.2644957812121047
2025-02-24,3.5,-0.5724747877657996,-0.5724747877657996
2025-02-25,2.5,-0.9184852844889522,-0.9184852844889522
2025-02-26,8.75,1.2440803200307509,1.2440803200307509
2025-03-03,5.0,-0.05345904268107092,-0.05345904268107092
2025-03-04,12.0,2.3686144343809965,2.3686144343809965
2025-03-05,6.75,0.5520593265844459,0.5520593265844459
2025-03-06,7.5,0.8115671991268103,0.8115671991268103
2025-03-11,9.5,1.5035881925731154,1.5035881925731154
2025-03-17,6.5,0.4655567024036578,0.4655567024036578
2025-03-18,5.5,0.11954620568050532,0.11954620568050532
2025-03-19,2.75,-0.831982660308164,-0.831982660308164
2025-03-20,5.5,0.11954620568050532,0.11954620568050532
2025-03-21,5.0,-0.05345904268107092,-0.05345904268107092
2025-03-24,2.5,-0.9184852844889522,-0.9184852844889522
2025-03-25,2.75,-0.831982660308164,-0.831982660308164
2025-03-26,4.0,-0.3994695394042234,-0.3994695394042234
2025-03-31,4.25,-0.3129669152234353,-0.3129669152234353
2025-04-01,3.25,-0.6589774119465878,-0.6589774119465878
2025-04-02,10.25,1.7630960651154797,1.7630960651154797
2025-04-03,6.25,0.3790540782228697,0.3790540782228697
2025-04-07,9.75,1.5900908167539034,1.5900908167539034
2025-04-08,12.0,2.3686144343809965,2.3686144343809965
2025-04-09,10.0,1.6765934409346916,1.6765934409346916
2025-04-15,7.5,0.8115671991268103,0.8115671991268103
2025-04-16,4.75,-0.13996166686185904,-0.13996166686185904
2025-04-17,5.75,0.20604882986129344,0.20604882986129344
2025-04-21,7.75,0.8980698233075984,0.8980698233075984
2025-04-22,3.25,-0.6589774119465878,-0.6589774119465878
2025-04-23,5.5,0.11954620568050532,0.11954620568050532
2025-04-24,4.0,-0.3994695394042234,-0.3994695394042234
2025-04-28,6.75,0.5520593265844459,0.5520593265844459
2025-04-29,3.0,-0.7454800361273759,-0.7454800361273759
2025-05-01,5.5,0.11954620568050532,0.11954620568050532
2025-05-05,3.75,-0.48597216358501155,-0.48597216358501155
2025-05-06,5.5,0.11954620568050532,0.11954620568050532
2025-05-07,5.5,0.11954620568050532,0.11954620568050532
2025-05-09,1.75,-1.1779931570313165,-1.1779931570313165
2025-05-14,5.5,0.11954620568050532,0.11954620568050532
2025-05-19,4.5,-0.22646429104264718,-0.22646429104264718
2025-05-20,2.25,-1.0049879086697402,-1.0049879086697402
2025-05-21,7.25,0.7250645749460222,0.7250645749460222
2025-05-22,5.25,0.0330435814997172,0.0330435814997172
2025-05-23,3.75,-0.48597216358501155,-0.48597216358501155
2025-05-26,1.25,-1.3509984053928927,-1.3509984053928927
2025-05-27,3.5,-0.5724747877657996,-0.5724747877657996
2025-05-28,3.0,-0.7454800361273759,-0.7454800361273759
